,pex,vamm,te
10,8317.5,1.4996241218607658,0.4
50,32678.5,0.8991238670645728,0.4
70,32048.666666666668,0.5030610340433622,0.6
100,66978.66666666667,0.5245657059029052,0.6
150,57587.0,0.47748933771378566,0.8
