,pex,vamm,te
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676b9a0>,60235.0,0.684361807579835,0.8
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676ba00>,59231.75,0.5115140922496021,0.8
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676ba60>,55258.333333333336,0.8642348725523912,0.6
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676bac0>,,2.401764428472376,0.0
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676bb20>,65997.5,0.6222258608284779,0.8
