,pex,vamm,te
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676b9a0>,,1.700655440969062,0.0
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676ba00>,,1.5777210240018242,0.0
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676ba60>,,1.0663462027253379,0.0
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676bac0>,,10.020226322186879,0.0
<A3_ComputacionEvolutiva.SurvivorSelection.SurvivorSelection object at 0x7f520676bb20>,35769.5,0.8784872279316314,0.4
