,pex,vamm,te
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f520676b700>,4537.2,0.32180774916535293,1.0
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f520676b760>,48981.0,0.6990421669206525,0.2
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f520676b7c0>,76143.0,0.6952455161541697,0.4
