,pex,vamm,te
<A3_ComputacionEvolutiva.ParentSelection.ParentSelection object at 0x7f520676b820>,27422.0,0.7090604165411852,0.4
<A3_ComputacionEvolutiva.ParentSelection.ParentSelection object at 0x7f520676b880>,47437.0,0.7890314838608395,0.4
<A3_ComputacionEvolutiva.ParentSelection.ParentSelection object at 0x7f520676b8e0>,46731.0,0.7949925473031669,0.2
<A3_ComputacionEvolutiva.ParentSelection.ParentSelection object at 0x7f520676b940>,,1.3114384619841064,0.0
