,pex,vamm,te
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f71be4430a0>,63936.0,0.4838837750735516,1.0
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f71be4432e0>,62987.0,0.9398091865195266,0.2
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f719c900070>,,0.939599567787092,0.0
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f719c900130>,41249.0,0.8318807710112932,0.2
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f719c900190>,54614.0,1.0839432332021244,0.2
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f719c9000a0>,,1.3797583297362457,0.0
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f719c9001f0>,,1.7910274731385836,0.0
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f719c900280>,,2.1098599083055825,0.0
<A3_ComputacionEvolutiva.OperatorInt.OperatorInt object at 0x7f719c9002b0>,,1.3780441049743104,0.0
